title,building_status,location,price(L),Price (Rs),rate_persqft,area_insqft
3 BHK Apartment,Under Construction,Koramangala,214,21400000,8350,2566
3 BHK Apartment,Ready to move,Koramangala,154,15400000,10807,1425
4 BHK Apartment,Under Construction,Koramangala,420,42000000,13125,3200
4 BHK Apartment,Under Construction,Koramangala,390,39000000,12412,3142
2 BHK Apartment,Ready to move,Koramangala,175,17500000,14011,1249
1 BHK Independent House,Ready to move,Koramangala,145,14500000,21577,672
3 BHK Apartment,Ready to move,Koramangala,270,27000000,10493,2573
3 BHK Apartment,Ready to move,Koramangala,255,25500000,13665,1866
2 BHK Apartment,Under Construction,Koramangala,199,19900000,14368,1385
2 BHK Apartment,Ready to move,Koramangala,149,14900000,9490,1570
2 BHK Villa,Ready to move,Koramangala,130,13000000,8280,1570
3 BHK Independent House,Ready to move,Koramangala,432,43200000,12342,3500
4 BHK Independent House,Ready to move,Koramangala,325,32500000,6500,5000
3 BHK Apartment,Ready to move,Koramangala,175,17500000,10294,1700
3 BHK Independent Floor,Ready to move,Koramangala,149,14900000,16666,900
4 BHK Independent House,Ready to move,Koramangala,245,24500000,10208,2400
3 BHK Independent House,Ready to move,Indira Nagar,280,28000000,14000,2000
3 BHK Apartment,Under Construction,Indira Nagar,225,22500000,12857,1750
3 BHK Apartment,Ready to move,Indira Nagar,210,21000000,10144,2070
3 BHK Apartment,Ready to move,Indira Nagar,350,35000000,11498,3044
3 BHK Apartment,Ready to move,Indira Nagar,61.25,6125000,4900,1250
2 BHK Apartment,Ready to move,Indira Nagar,87,8700000,7250,1200
5 BHK Independent House,Ready to move,Indira Nagar,730,73000000,20857,3500
2 BHK Independent House,Ready to move,Indira Nagar,400,40000000,16666,2400
3 BHK Independent House,Ready to move,Indira Nagar,615,61500000,15375,4000
2 BHK Apartment,Ready to move,Indira Nagar,125,12500000,9259,1350
3 BHK Apartment,Ready to move,Indira Nagar,140,14000000,7777,1800
3 BHK Independent House,Ready to move,Indira Nagar,130,13000000,8666,1500
3 BHK Independent House,Ready to move,Indira Nagar,195,19500000,7800,2500
4 BHK Apartment,Ready to move,Indira Nagar,380,38000000,13571,2800
4 BHK Independent House,Ready to move,Indira Nagar,400,40000000,16000,2500
3 BHK Apartment,Ready to move,Indira Nagar,63.7,6370000,4900,1300
5 BHK Independent House,Ready to move,Indira Nagar,199,19900000,8333,2400
4 BHK Apartment,Ready to move,HSR Layout,595,59500000,10059,5915
2 BHK Apartment,Under Construction,HSR Layout,70,7000000,6194,1130
3 BHK Apartment,Ready to move,HSR Layout,84,8400000,5384,1560
3 BHK Apartment,Ready to move,HSR Layout,114,11400000,6972,1635
2 BHK Apartment,Ready to move,HSR Layout,68,6800000,5291,1285
3 BHK Apartment,Ready to move,HSR Layout,181,18100000,14484,1253
4 BHK Apartment,Ready to move,HSR Layout,220,22000000,8301,2650
3 BHK Apartment,Ready to move,HSR Layout,259,25900000,7848,3300
3 BHK Apartment,Ready to move,HSR Layout,130,13000000,7669,1695
2 BHK Apartment,Ready to move,HSR Layout,78.99,7899000,6319,1250
4 BHK Independent House,Ready to move,HSR Layout,130,13000000,7222,1800
2 BHK Independent House,Ready to move,HSR Layout,140,14000000,9333,1500
3 BHK Apartment,Ready to move,BTM Layout,147,14700000,9514,1545
