location,Price/sqft 2018,Conversion factor for 2019,Price/sqft 2019
Electronic City,"5,285.44",0.06,5618
Koramangala,"11,105.50",0.02,11366
Koramangala,"10,880.40",0.02,11136
Koramangala,"12,765.96",0.02,13066
Koramangala,"4,206.35",0.02,4305
Koramangala,"6,428.57",0.02,6580
Koramangala,"13,877.55",0.02,14204
Koramangala,"18,367.35",0.02,18799
Koramangala,"17,492.71",0.02,17904
Electronic City,"6,074.77",0.06,6457
Koramangala,"11,111.11",0.02,11372
Koramangala,"10,919.73",0.02,11176
Koramangala,"24,316.11",0.02,24887
Koramangala,"8,827.59",0.02,9035
Koramangala,"14,068.30",0.02,14399
Koramangala,"19,047.62",0.02,19495
Koramangala,"16,554.26",0.02,16943
Koramangala,"11,816.14",0.02,12094
Electronic City,"4,285.71",0.06,4555
Hebbal,"13,025.21",0.04,13602
Electronic City,"7,582.57",0.06,8059
Electronic City,"7,555.13",0.06,8030
Electronic City,"6,013.63",0.06,6392
Electronic City,"6,801.07",0.06,7228
Electronic City,"4,125.29",0.06,4385
Hebbal,"7,585.34",0.04,7921
Electronic City,"3,571.43",0.06,3796
Electronic City,"8,053.69",0.06,8560
Electronic City,"3,714.29",0.06,3948
Electronic City,"6,257.75",0.06,6651
Electronic City,"4,661.65",0.06,4955
Electronic City,"4,125.51",0.06,4385
Electronic City,"7,004.61",0.06,7445
Hebbal,"13,888.89",0.04,14504
Hebbal,"14,778.33",0.04,15433
Hebbal,"15,413.32",0.04,16096
Electronic City,"6,403.94",0.06,6806
Electronic City,"6,657.64",0.06,7076
Electronic City,"5,124.22",0.06,5446
Electronic City,"4,125.71",0.06,4385
Electronic City,"6,857.14",0.06,7288
Electronic City,"4,126.62",0.06,4386
Bellandur,"8,327.27",0.05,8709
Bellandur,"7,824.54",0.05,8183
HSR Layout,"12,143.47",0.08,13106
Bellandur,"8,685.71",0.05,9084
Bellandur,"7,142.86",0.05,7470
Bellandur,"8,252.48",0.05,8631
Bellandur,"6,204.44",0.05,6489
Bellandur,"9,395.97",0.05,9827
Electronic City,"4,125.29",0.06,4385
Bellandur,"6,948.70",0.05,7267
Bellandur,"11,770.48",0.05,12310
Bellandur,"7,565.64",0.05,7913
Bellandur,"7,429.92",0.05,7771
Bellandur,"7,025.76",0.05,7348
HSR Layout,"8,267.20",0.08,8922
Bellandur,"9,017.93",0.05,9432
Bellandur,"8,888.89",0.05,9297
Bellandur,"8,359.79",0.05,8743
Bellandur,"6,331.93",0.05,6622
Bellandur,"8,334.15",0.05,8716
HSR Layout,"13,300.49",0.08,14354
Bellandur,"6,096.83",0.05,6376
Bellandur,"9,795.92",0.05,10245
Electronic City,"6,466.78",0.06,6873
Bellandur,"7,851.69",0.05,8212
Bellandur,"5,428.26",0.05,5677
Bellandur,"9,443.78",0.05,9877
Bellandur,"8,155.50",0.05,8530
Bellandur,"6,699.51",0.05,7007
Bellandur,"8,760.11",0.05,9162
Electronic City,"4,125.51",0.06,4385
Bellandur,"8,051.95",0.05,8421
Hebbal,"11,822.66",0.04,12346
Bellandur,"5,437.79",0.05,5687
Bellandur,"5,428.26",0.05,5677
Bellandur,"4,572.45",0.05,4782
Electronic City,"5,820.11",0.06,6186
Bellandur,"8,478.17",0.05,8867
Bellandur,"8,001.16",0.05,8368
Bellandur,"5,428.86",0.05,5678
Bellandur,"6,994.67",0.05,7316
Bellandur,"7,794.65",0.05,8152
Bellandur,"7,135.72",0.05,7463
Bellandur,"7,008.09",0.05,7330
HSR Layout,"12,034.16",0.08,12988
BTM Layout,"5,473.68",0.04,5669
Bellandur,"9,702.24",0.05,10147
Electronic City,"7,620.90",0.06,8100
Bellandur,"6,071.43",0.05,6350
Bellandur,"6,190.48",0.05,6474
Bellandur,"9,603.84",0.05,10044
Electronic City,"5,782.65",0.06,6146
Bellandur,"6,302.52",0.05,6592
Bellandur,"9,269.36",0.05,9695
Electronic City,"7,077.33",0.06,7522
Bellandur,"5,423.33",0.05,5672
Bellandur,"8,776.21",0.05,9179
Bellandur,"8,812.35",0.05,9217
Bellandur,"5,428.26",0.05,5677
Bellandur,"12,324.51",0.05,12890
Bellandur,"5,713.06",0.05,5975
Bellandur,"8,626.09",0.05,9022
Bellandur,"16,068.29",0.05,16805
Bellandur,"5,357.14",0.05,5603
Bellandur,"7,025.76",0.05,7348
Bellandur,"9,321.18",0.05,9749
Bellandur,"5,263.16",0.05,5505
Bellandur,"8,444.76",0.05,8832
Bellandur,"6,400.00",0.05,6694
Bellandur,"8,562.95",0.05,8956
Bellandur,"8,645.53",0.05,9042
Bellandur,"16,068.29",0.05,16805
Bellandur,"9,749.89",0.05,10197
Bellandur,"10,447.30",0.05,10927
Bellandur,"6,945.39",0.05,7264
Bellandur,"6,666.67",0.05,6972
Bellandur,"7,431.87",0.05,7773
Bellandur,"9,152.18",0.05,9572
Electronic City,"6,079.03",0.06,6461
Bellandur,"6,237.42",0.05,6524
Bellandur,"5,713.08",0.05,5975
Bellandur,"7,380.95",0.05,7720
Bellandur,"7,195.41",0.05,7525
Electronic City,"4,844.72",0.06,5149
Bellandur,"6,947.70",0.05,7266
HSR Layout,"11,769.48",0.08,12702
Bellandur,"6,845.24",0.05,7159
Bellandur,"5,367.13",0.05,5613
Bellandur,"7,293.01",0.05,7628
Bellandur,"7,142.86",0.05,7470
Bellandur,"9,805.58",0.05,10255
Electronic City,"7,807.95",0.06,8299
Bellandur,"7,563.03",0.05,7910
Bellandur,"8,842.60",0.05,9248
Bellandur,"7,170.96",0.05,7500
Bellandur,"6,216.38",0.05,6502
Electronic City,"4,125.54",0.06,4385
Bellandur,"11,448.48",0.05,11974
Bellandur,"7,017.17",0.05,7339
Bellandur,"9,467.12",0.05,9901
Bellandur,"8,375.99",0.05,8760
Electronic City,"8,891.52",0.06,9450
Bellandur,"10,233.32",0.05,10703
Bellandur,"5,213.76",0.05,5453
Bellandur,"5,320.35",0.05,5564
BTM Layout,"7,826.09",0.04,8105
BTM Layout,"16,095.24",0.04,16668
BTM Layout,"7,980.30",0.04,8264
BTM Layout,"6,032.82",0.04,6248
BTM Layout,"7,740.54",0.04,8016
BTM Layout,"7,868.60",0.04,8149
Electronic City,"6,429.08",0.06,6833
BTM Layout,"6,512.61",0.04,6745
BTM Layout,"10,000.00",0.04,10356
BTM Layout,"8,241.76",0.04,8535
BTM Layout,"7,235.62",0.04,7493
BTM Layout,"13,095.24",0.04,13562
BTM Layout,"6,785.71",0.04,7027
BTM Layout,"9,620.99",0.04,9964
Electronic City,"5,000.00",0.06,5314
Electronic City,"6,550.52",0.06,6962
Electronic City,"4,125.71",0.06,4385
Electronic City,"4,285.71",0.06,4555
Electronic City,"2,678.57",0.06,2847
Electronic City,"6,142.86",0.06,6529
Electronic City,"8,086.25",0.06,8594
Electronic City,"7,998.51",0.06,8501
Electronic City,"5,925.93",0.06,6298
Electronic City,"6,679.04",0.06,7099
Electronic City,"6,942.59",0.06,7379
BTM Layout,"13,127.41",0.04,13595
Electronic City,"6,411.15",0.06,6814
Electronic City,"5,454.55",0.06,5797
Electronic City,"6,279.43",0.06,6674
Electronic City,"8,122.74",0.06,8633
Electronic City,"8,232.02",0.06,8749
Electronic City,"7,539.68",0.06,8014
BTM Layout,"9,523.81",0.04,9863
Electronic City,"7,978.72",0.06,8480
Electronic City,"11,167.69",0.06,11870
Electronic City,"8,844.81",0.06,9401
Electronic City,"4,125.71",0.06,4385
Electronic City,"5,484.46",0.06,5829
Electronic City,"7,343.12",0.06,7805
Electronic City,"6,231.00",0.06,6623
Electronic City,"4,126.62",0.06,4386
Electronic City,"8,706.94",0.06,9254
Electronic City,"7,802.85",0.06,8293
Indira Nagar,"6,836.73",0.1,7548
Electronic City,"7,457.98",0.06,7927
Electronic City,"4,707.79",0.06,5004
Electronic City,"6,429.14",0.06,6833
Electronic City,"8,617.05",0.06,9159
Electronic City,"8,294.07",0.06,8815
Electronic City,"7,881.77",0.06,8377
BTM Layout,"7,849.29",0.04,8129
Electronic City,"5,467.37",0.06,5811
Electronic City,"4,155.84",0.06,4417
Electronic City,"3,219.32",0.06,3422
Electronic City,"7,489.99",0.06,7961
Electronic City,"7,223.11",0.06,7677
Electronic City,"8,314.34",0.06,8837
Electronic City,"6,936.42",0.06,7372
Electronic City,"4,126.42",0.06,4386
Electronic City,"6,593.41",0.06,7008
Electronic City,"4,125.62",0.06,4385
Electronic City,"5,494.51",0.06,5840
Electronic City,"7,878.15",0.06,8373
Electronic City,"7,421.15",0.06,7888
Electronic City,"8,105.37",0.06,8615
Electronic City,"7,209.61",0.06,7663
Electronic City,"3,896.10",0.06,4141
Electronic City,"4,125.44",0.06,4385
Electronic City,"8,093.12",0.06,8602
Electronic City,"6,429.21",0.06,6833
Electronic City,"6,486.04",0.06,6894
Electronic City,"5,273.77",0.06,5605
Electronic City,"6,717.42",0.06,7140
Electronic City,"7,485.96",0.06,7956
Electronic City,"2,922.08",0.06,3106
Electronic City,"5,844.16",0.06,6211
Electronic City,"8,276.34",0.06,8796
Electronic City,"8,232.02",0.06,8749
Electronic City,"6,433.30",0.06,6838
Electronic City,"4,126.46",0.06,4386
Electronic City,"5,194.81",0.06,5521
Electronic City,"8,394.11",0.06,8922
Electronic City,"6,053.27",0.06,6434
Electronic City,"3,142.86",0.06,3340
Electronic City,"7,595.82",0.06,8073
Electronic City,"7,629.42",0.06,8109
Electronic City,"6,141.52",0.06,6527
Electronic City,"6,137.57",0.06,6523
Electronic City,"3,571.43",0.06,3796
Electronic City,"4,126.05",0.06,4385
Electronic City,"6,302.52",0.06,6699
Electronic City,"6,604.45",0.06,7020
Electronic City,"4,897.96",0.06,5206
Electronic City,"8,611.96",0.06,9153
Electronic City,"7,405.46",0.06,7871
Electronic City,"4,720.50",0.06,5017
Electronic City,"9,548.06",0.06,10148
Electronic City,"4,127.13",0.06,4387
Electronic City,"5,903.19",0.06,6274
Electronic City,"9,174.31",0.06,9751
Electronic City,"5,148.01",0.06,5472
Electronic City,"9,285.71",0.06,9869
Electronic City,"3,896.10",0.06,4141
Electronic City,"4,125.16",0.06,4384
Electronic City,"9,523.81",0.06,10122
Electronic City,"5,456.35",0.06,5799
Electronic City,"7,533.30",0.06,8007
Electronic City,"5,437.47",0.06,5779
Electronic City,"4,126.53",0.06,4386
Electronic City,"8,060.52",0.06,8567
Electronic City,"8,010.68",0.06,8514
Electronic City,"8,295.34",0.06,8817
Electronic City,"7,023.81",0.06,7465
Electronic City,"4,124.75",0.06,4384
Electronic City,"8,153.52",0.06,8666
HSR Layout,"10,989.01",0.08,11860
Electronic City,"5,251.31",0.06,5581
Electronic City,"7,343.12",0.06,7805
Electronic City,"7,816.71",0.06,8308
Electronic City,"7,540.07",0.06,8014
Electronic City,"7,178.01",0.06,7629
Electronic City,"4,524.89",0.06,4809
Electronic City,"3,896.10",0.06,4141
Indira Nagar,"16,338.26",0.1,18037
Electronic City,"3,246.75",0.06,3451
Electronic City,"5,857.14",0.06,6225
Electronic City,"7,428.57",0.06,7895
Electronic City,"6,986.22",0.06,7425
Electronic City,"8,163.27",0.06,8676
HSR Layout,"8,123.98",0.08,8768
Electronic City,"9,859.02",0.06,10479
Electronic City,"4,125.41",0.06,4385
Electronic City,"7,365.08",0.06,7828
Electronic City,"4,591.09",0.06,4880
