title,location,price(L),rate_persqft,area_insqft,building_status
3 BHK Apartment,Hitech City,123,6059,2030,Ready to move
Residential Plot,Hitech City,14.4,1777,810,New
Residential Plot,Hitech City,15,1666,900,New
4 BHK Apartment,Hitech City,277,8010,3458,Under Construction
3 BHK Apartment,Hitech City,210,7984,2630,Ready to move
3 BHK Apartment,Hitech City,125,7911,1580,Ready to move
3 BHK Apartment,Hitech City,200,8113,2465,Ready to move
Residential Plot,Hitech City,250,9259,2700,Resale
2 BHK Apartment,Hitech City,30,2870,1045,Under Construction
3 BHK Apartment,Hitech City,200,7155,2795,Ready to move
1 BHK Apartment,Hitech City,25.8,4250,607,Under Construction
2 BHK Apartment,Hitech City,50,4166,1200,Ready to move
3 BHK Apartment,Hitech City,35,2704,1294,Under Construction
2 BHK Apartment,Hitech City,29,3052,950,Under Construction
1 BHK Apartment,Hitech City,21,3230,650,Under Construction
3 BHK Apartment,Hitech City,152,7037,2160,Ready to move
3 BHK Apartment,Hitech City,170,7522,2260,Ready to move
3 BHK Apartment,Hitech City,150,7444,2015,Ready to move
3 BHK Apartment,Hitech City,125,6944,1800,Ready to move
3 BHK Apartment,Hitech City,218,8989,2425,Ready to move
Residential Plot,Hitech City,14,1555,900,New
4 BHK Apartment,Hitech City,325,10000,3250,Ready to move
2 BHK Apartment,Hitech City,85,7083,1200,Ready to move
3 BHK Apartment,Hitech City,165,8461,1950,Ready to move
3 BHK Apartment,Hitech City,112,7088,1580,Ready to move
3 BHK Apartment,Hitech City,178,7772,2290,Under Construction
3 BHK Apartment,Hitech City,178,7739,2300,Under Construction
3 BHK Apartment,Hitech City,163,7970,2045,Under Construction
3 BHK Apartment,Hitech City,155,7828,1980,Under Construction
3 BHK Apartment,Hitech City,179,7955,2250,Under Construction
3 BHK Apartment,Hitech City,148,7851,1885,Under Construction
4 BHK Apartment,Hitech City,241,8128,2965,Under Construction
3 BHK Apartment,Hitech City,183,8097,2260,Under Construction
3 BHK Apartment,Hitech City,146,7724,1890,Under Construction
3 BHK Apartment,Hitech City,153,7806,1960,Under Construction
3 BHK Apartment,Hitech City,155,8010,1935,Under Construction
4 BHK Apartment,Hitech City,223,7797,2860,Under Construction
3 BHK Apartment,Hitech City,147,7860,1870,Under Construction
3 BHK Apartment,Hitech City,172,7818,2200,Under Construction
3 BHK Apartment,Hitech City,178,8109,2195,Under Construction
3 BHK Apartment,Hitech City,215,8958,2400,Ready to move
2 BHK Apartment,Hitech City,81,6923,1170,Ready to move
4 BHK Apartment,Hitech City,230,7416,3101,Ready to move
4 BHK Apartment,Hitech City,236,7499,3147,Ready to move
4 BHK Apartment,Hitech City,230,7443,3090,Ready to move
4 BHK Apartment,Hitech City,230,7555,3044,Ready to move
