city,title,location,price(L),rate_persqft,area_insqft,building_status,last_updated_date
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000,842,Ready to move,2020-01-24
Mumbai,1 BHK Apartment,Andheri East,52.71,12375,426,Ready to move,2020-01-24
Mumbai,2 BHK Apartment,Andheri East,155.0,14285,1085,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Andheri East,248.0,22125,1124,Under Construction,2020-01-16
Mumbai,1 BHK Apartment,Andheri East,100.0,13774,726,Ready to move,2020-01-16
Mumbai,1 BHK Apartment,Andheri East,130.0,16624,782,Ready to move,2020-01-16
Mumbai,1 BHK Apartment,Andheri East,104.0,15156,689,Under Construction,2020-01-16
Mumbai,2 BHK Apartment,Andheri East,230.0,20852,1103,Under Construction,2020-01-16
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982,1364,Under Construction,2020-01-16
Mumbai,2 BHK Apartment,Andheri East,172.0,13969,1237,Ready to move,2020-01-16
Mumbai,2 BHK Apartment,Andheri East,198.0,19411,1020,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Andheri East,240.0,14018,1712,Ready to move,2020-01-16
Mumbai,2 BHK Apartment,Andheri East,244.0,18033,1353,Ready to move,2020-01-16
Mumbai,2 BHK Apartment,Andheri East,170.0,15496,1097,Under Construction,2020-01-16
Mumbai,1 BHK Apartment,Andheri East,100.0,14144,707,Under Construction,2020-01-16
Mumbai,2 BHK Apartment,Andheri West,360.0,44280,813,Under Construction,2020-01-24
Mumbai,3 BHK Apartment,Andheri West,540.0,40419,1336,Under Construction,2020-01-24
Mumbai,4 BHK Apartment,Andheri West,999.0,45724,2187,Under Construction,2020-01-24
Mumbai,3 BHK Apartment,Andheri West,600.0,35398,1695,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Andheri West,310.0,19375,1600,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Andheri West,510.0,28911,1764,Ready to move,2020-01-16
Mumbai,4 BHK Apartment,Andheri West,1493.0,45938,3250,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Andheri West,1225.0,43750,2800,Ready to move,2020-01-15
Mumbai,5 BHK Apartment,Andheri West,1940.0,47317,4100,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Andheri West,252.0,24576,1027,Under Construction,2020-01-15
Mumbai,3 BHK Apartment,Andheri West,1098.0,42230,2600,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Andheri West,450.0,32028,1405,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Andheri West,550.0,30219,1820,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Andheri West,315.0,22419,1405,Ready to move,2020-01-16
Mumbai,2 BHK Apartment,Andheri West,165.0,13200,1250,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Andheri West,450.0,32051,1404,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Bandra East,799.0,53877,1483,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Bandra East,700.0,36842,1900,Ready to move,2020-01-16
Mumbai,3 BHK Apartment,Bandra East,710.0,34855,2037,Ready to move,2020-01-16
